id,asset,year,rep_period,time_block_start,time_block_end,dual_max_ramp_up_with_unit_commitment,dual_max_ramp_down_with_unit_commitment
79,BE_CCGT,2030,4,7,7,0.0,0.0
80,BE_CCGT,2030,4,8,8,0.0,0.0
81,BE_CCGT,2030,4,9,9,0.0,0.0
82,BE_CCGT,2030,4,10,10,0.0,0.0
83,BE_CCGT,2030,4,11,11,0.0,0.0
84,BE_CCGT,2030,4,12,12,0.0,0.0
85,BE_CCGT,2030,4,13,13,0.0,0.0
86,BE_CCGT,2030,4,14,14,0.0,0.0
87,BE_CCGT,2030,4,15,15,0.0,0.0
88,BE_CCGT,2030,4,16,16,0.0,0.0
89,BE_CCGT,2030,4,17,17,0.0,0.0
90,BE_CCGT,2030,4,18,18,0.0,0.0
91,BE_CCGT,2030,4,19,19,0.0,0.0
92,BE_CCGT,2030,4,20,20,0.0,0.0
93,BE_CCGT,2030,4,21,21,0.0,0.0
94,BE_CCGT,2030,4,22,22,0.0,0.0
95,BE_CCGT,2030,4,23,23,0.0,0.0
96,BE_CCGT,2030,4,24,24,0.0,0.0
97,BE_CCGT,2030,5,1,1,0.0,0.0
98,BE_CCGT,2030,5,2,2,0.0,0.0
99,BE_CCGT,2030,5,3,3,0.0,0.0
100,BE_CCGT,2030,5,4,4,0.0,0.0
101,BE_CCGT,2030,5,5,5,0.0,0.0
102,BE_CCGT,2030,5,6,6,0.0,0.0
103,BE_CCGT,2030,5,7,7,0.0,0.0
104,BE_CCGT,2030,5,8,8,0.0,0.0
105,BE_CCGT,2030,5,9,9,0.0,0.0
106,BE_CCGT,2030,5,10,10,0.0,0.0
107,BE_CCGT,2030,5,11,11,0.0,0.0
108,BE_CCGT,2030,5,12,12,0.0,0.0
109,BE_CCGT,2030,5,13,13,0.0,0.0
110,BE_CCGT,2030,5,14,14,0.0,0.0
111,BE_CCGT,2030,5,15,15,0.0,0.0
112,BE_CCGT,2030,5,16,16,0.0,0.0
113,BE_CCGT,2030,5,17,17,0.0,0.0
114,BE_CCGT,2030,5,18,18,0.0,0.0
115,BE_CCGT,2030,5,19,19,0.0,0.0
116,BE_CCGT,2030,5,20,20,0.0,0.0
117,BE_CCGT,2030,5,21,21,0.0,0.0
118,BE_CCGT,2030,5,22,22,0.0,0.0
119,BE_CCGT,2030,5,23,23,0.0,0.0
120,BE_CCGT,2030,5,24,24,0.0,0.0
121,BE_CCGT,2030,6,1,1,0.0,0.0
122,BE_CCGT,2030,6,2,2,0.0,0.0
123,BE_CCGT,2030,6,3,3,0.0,0.0
124,BE_CCGT,2030,6,4,4,0.0,0.0
125,BE_CCGT,2030,6,5,5,0.0,0.0
126,BE_CCGT,2030,6,6,6,0.0,0.0
127,BE_CCGT,2030,6,7,7,0.0,0.0
128,BE_CCGT,2030,6,8,8,0.0,0.0
129,BE_CCGT,2030,6,9,9,0.0,0.0
130,BE_CCGT,2030,6,10,10,0.0,0.0
131,BE_CCGT,2030,6,11,11,0.0,0.0
132,BE_CCGT,2030,6,12,12,0.0,0.0
133,BE_CCGT,2030,6,13,13,0.0,0.0
134,BE_CCGT,2030,6,14,14,0.0,0.0
135,BE_CCGT,2030,6,15,15,0.0,0.0
136,BE_CCGT,2030,6,16,16,0.0,0.0
137,BE_CCGT,2030,6,17,17,0.0,0.0
138,BE_CCGT,2030,6,18,18,0.0,0.0
139,BE_CCGT,2030,6,19,19,0.0,0.0
140,BE_CCGT,2030,6,20,20,0.0,0.0
141,BE_CCGT,2030,6,21,21,0.0,0.0
142,BE_CCGT,2030,6,22,22,0.0,0.0
143,BE_CCGT,2030,6,23,23,0.0,0.0
144,BE_CCGT,2030,6,24,24,0.0,0.0
145,BE_CCGT,2030,7,1,1,0.0,0.0
146,BE_CCGT,2030,7,2,2,0.0,0.0
147,BE_CCGT,2030,7,3,3,0.0,0.0
148,BE_CCGT,2030,7,4,4,0.0,0.0
149,BE_CCGT,2030,7,5,5,0.0,0.0
150,BE_CCGT,2030,7,6,6,0.0,0.0
151,BE_CCGT,2030,7,7,7,0.0,0.0
152,BE_CCGT,2030,7,8,8,0.0,0.0
153,BE_CCGT,2030,7,9,9,0.0,0.0
154,BE_CCGT,2030,7,10,10,0.0,0.0
155,BE_CCGT,2030,7,11,11,0.0,0.0
156,BE_CCGT,2030,7,12,12,0.0,0.0
157,BE_CCGT,2030,7,13,13,0.0,0.0
158,BE_CCGT,2030,7,14,14,0.0,0.0
159,BE_CCGT,2030,7,15,15,0.0,0.0
160,BE_CCGT,2030,7,16,16,0.0,0.0
161,BE_CCGT,2030,7,17,17,0.0,0.0
162,BE_CCGT,2030,7,18,18,0.0,0.0
163,BE_CCGT,2030,7,19,19,0.0,0.0
164,BE_CCGT,2030,7,20,20,0.0,0.0
165,BE_CCGT,2030,7,21,21,0.0,0.0
166,BE_CCGT,2030,7,22,22,0.0,0.0
167,BE_CCGT,2030,7,23,23,0.0,0.0
168,BE_CCGT,2030,7,24,24,0.0,0.0
169,BE_CCGT,2030,8,1,1,0.0,0.0
170,BE_CCGT,2030,8,2,2,0.0,0.0
171,BE_CCGT,2030,8,3,3,0.0,0.0
172,BE_CCGT,2030,8,4,4,0.0,0.0
173,BE_CCGT,2030,8,5,5,0.0,0.0
174,BE_CCGT,2030,8,6,6,0.0,0.0
175,BE_CCGT,2030,8,7,7,0.0,0.0
176,BE_CCGT,2030,8,8,8,0.0,0.0
177,BE_CCGT,2030,8,9,9,0.0,0.0
178,BE_CCGT,2030,8,10,10,0.0,0.0
179,BE_CCGT,2030,8,11,11,0.0,0.0
180,BE_CCGT,2030,8,12,12,0.0,0.0
181,BE_CCGT,2030,8,13,13,0.0,0.0
182,BE_CCGT,2030,8,14,14,0.0,0.0
183,BE_CCGT,2030,8,15,15,0.0,0.0
184,BE_CCGT,2030,8,16,16,0.0,0.0
185,BE_CCGT,2030,8,17,17,0.0,0.0
186,BE_CCGT,2030,8,18,18,0.0,0.0
187,BE_CCGT,2030,8,19,19,0.0,0.0
188,BE_CCGT,2030,8,20,20,0.0,0.0
189,BE_CCGT,2030,8,21,21,0.0,0.0
190,BE_CCGT,2030,8,22,22,0.0,0.0
191,BE_CCGT,2030,8,23,23,0.0,0.0
192,BE_CCGT,2030,8,24,24,0.0,0.0
193,BE_CCGT,2030,9,1,1,0.0,0.0
194,BE_CCGT,2030,9,2,2,0.0,0.0
195,BE_CCGT,2030,9,3,3,0.0,0.0
196,BE_CCGT,2030,9,4,4,0.0,0.0
197,BE_CCGT,2030,9,5,5,0.0,0.0
198,BE_CCGT,2030,9,6,6,0.0,0.0
199,BE_CCGT,2030,9,7,7,0.0,0.0
200,BE_CCGT,2030,9,8,8,0.0,0.0
201,BE_CCGT,2030,9,9,9,0.0,0.0
202,BE_CCGT,2030,9,10,10,0.0,0.0
203,BE_CCGT,2030,9,11,11,0.0,0.0
204,BE_CCGT,2030,9,12,12,0.0,0.0
205,BE_CCGT,2030,9,13,13,0.0,0.0
206,BE_CCGT,2030,9,14,14,0.0,0.0
207,BE_CCGT,2030,9,15,15,0.0,0.0
208,BE_CCGT,2030,9,16,16,0.0,0.0
209,BE_CCGT,2030,9,17,17,0.0,0.0
210,BE_CCGT,2030,9,18,18,0.0,0.0
211,BE_CCGT,2030,9,19,19,0.0,0.0
212,BE_CCGT,2030,9,20,20,0.0,0.0
213,BE_CCGT,2030,9,21,21,0.0,0.0
214,BE_CCGT,2030,9,22,22,0.0,0.0
215,BE_CCGT,2030,9,23,23,0.0,0.0
216,BE_CCGT,2030,9,24,24,0.0,0.0
217,BE_CCGT,2030,10,1,1,0.0,0.0
218,BE_CCGT,2030,10,2,2,0.0,0.0
219,BE_CCGT,2030,10,3,3,0.0,0.0
220,BE_CCGT,2030,10,4,4,0.0,0.0
221,BE_CCGT,2030,10,5,5,0.0,0.0
222,BE_CCGT,2030,10,6,6,0.0,0.0
223,BE_CCGT,2030,10,7,7,0.0,0.0
224,BE_CCGT,2030,10,8,8,0.0,0.0
225,BE_CCGT,2030,10,9,9,0.0,0.0
226,BE_CCGT,2030,10,10,10,0.0,0.0
227,BE_CCGT,2030,10,11,11,0.0,0.0
228,BE_CCGT,2030,10,12,12,0.0,0.0
229,BE_CCGT,2030,10,13,13,0.0,0.0
230,BE_CCGT,2030,10,14,14,0.0,0.0
231,BE_CCGT,2030,10,15,15,0.0,0.0
232,BE_CCGT,2030,10,16,16,0.0,0.0
233,BE_CCGT,2030,10,17,17,0.0,0.0
234,BE_CCGT,2030,10,18,18,0.0,0.0
235,BE_CCGT,2030,10,19,19,0.0,0.0
236,BE_CCGT,2030,10,20,20,0.0,0.0
237,BE_CCGT,2030,10,21,21,0.0,0.0
238,BE_CCGT,2030,10,22,22,0.0,0.0
239,BE_CCGT,2030,10,23,23,0.0,0.0
240,BE_CCGT,2030,10,24,24,0.0,0.0
241,BE_OCGT,2030,1,1,1,0.0,0.0
242,BE_OCGT,2030,1,2,2,0.0,0.0
243,BE_OCGT,2030,1,3,3,0.0,0.0
244,BE_OCGT,2030,1,4,4,0.0,0.0
245,BE_OCGT,2030,1,5,5,0.0,0.0
246,BE_OCGT,2030,1,6,6,0.0,0.0
247,BE_OCGT,2030,1,7,7,0.0,0.0
248,BE_OCGT,2030,1,8,8,0.0,0.0
249,BE_OCGT,2030,1,9,9,0.0,0.0
250,BE_OCGT,2030,1,10,10,0.0,0.0
251,BE_OCGT,2030,1,11,11,0.0,0.0
252,BE_OCGT,2030,1,12,12,0.0,0.0
253,BE_OCGT,2030,1,13,13,0.0,0.0
254,BE_OCGT,2030,1,14,14,0.0,0.0
255,BE_OCGT,2030,1,15,15,0.0,0.0
256,BE_OCGT,2030,1,16,16,0.0,0.0
257,BE_OCGT,2030,1,17,17,0.0,0.0
258,BE_OCGT,2030,1,18,18,0.0,0.0
259,BE_OCGT,2030,1,19,19,0.0,0.0
260,BE_OCGT,2030,1,20,20,0.0,0.0
261,BE_OCGT,2030,1,21,21,0.0,0.0
262,BE_OCGT,2030,1,22,22,0.0,0.0
263,BE_OCGT,2030,1,23,23,0.0,0.0
264,BE_OCGT,2030,1,24,24,0.0,0.0
265,BE_OCGT,2030,2,1,1,0.0,0.0
266,BE_OCGT,2030,2,2,2,0.0,0.0
267,BE_OCGT,2030,2,3,3,0.0,0.0
268,BE_OCGT,2030,2,4,4,0.0,0.0
269,BE_OCGT,2030,2,5,5,0.0,0.0
270,BE_OCGT,2030,2,6,6,0.0,0.0
271,BE_OCGT,2030,2,7,7,0.0,0.0
272,BE_OCGT,2030,2,8,8,0.0,0.0
273,BE_OCGT,2030,2,9,9,0.0,0.0
274,BE_OCGT,2030,2,10,10,0.0,0.0
275,BE_OCGT,2030,2,11,11,0.0,0.0
276,BE_OCGT,2030,2,12,12,0.0,0.0
277,BE_OCGT,2030,2,13,13,0.0,0.0
278,BE_OCGT,2030,2,14,14,0.0,0.0
279,BE_OCGT,2030,2,15,15,0.0,0.0
280,BE_OCGT,2030,2,16,16,0.0,0.0
281,BE_OCGT,2030,2,17,17,0.0,0.0
282,BE_OCGT,2030,2,18,18,0.0,0.0
283,BE_OCGT,2030,2,19,19,0.0,0.0
284,BE_OCGT,2030,2,20,20,0.0,0.0
285,BE_OCGT,2030,2,21,21,0.0,0.0
286,BE_OCGT,2030,2,22,22,0.0,0.0
287,BE_OCGT,2030,2,23,23,0.0,0.0
288,BE_OCGT,2030,2,24,24,0.0,0.0
289,BE_OCGT,2030,3,1,1,0.0,0.0
290,BE_OCGT,2030,3,2,2,0.0,0.0
291,BE_OCGT,2030,3,3,3,0.0,0.0
292,BE_OCGT,2030,3,4,4,0.0,0.0
293,BE_OCGT,2030,3,5,5,0.0,0.0
294,BE_OCGT,2030,3,6,6,0.0,0.0
295,BE_OCGT,2030,3,7,7,0.0,0.0
296,BE_OCGT,2030,3,8,8,0.0,0.0
297,BE_OCGT,2030,3,9,9,0.0,0.0
298,BE_OCGT,2030,3,10,10,0.0,0.0
299,BE_OCGT,2030,3,11,11,0.0,0.0
300,BE_OCGT,2030,3,12,12,0.0,0.0
301,BE_OCGT,2030,3,13,13,0.0,0.0
302,BE_OCGT,2030,3,14,14,0.0,0.0
303,BE_OCGT,2030,3,15,15,0.0,0.0
304,BE_OCGT,2030,3,16,16,0.0,0.0
305,BE_OCGT,2030,3,17,17,0.0,0.0
306,BE_OCGT,2030,3,18,18,0.0,0.0
307,BE_OCGT,2030,3,19,19,0.0,0.0
308,BE_OCGT,2030,3,20,20,0.0,0.0
309,BE_OCGT,2030,3,21,21,0.0,0.0
310,BE_OCGT,2030,3,22,22,0.0,0.0
311,BE_OCGT,2030,3,23,23,0.0,0.0
312,BE_OCGT,2030,3,24,24,0.0,0.0
313,BE_OCGT,2030,4,1,1,0.0,0.0
314,BE_OCGT,2030,4,2,2,0.0,0.0
315,BE_OCGT,2030,4,3,3,0.0,0.0
316,BE_OCGT,2030,4,4,4,0.0,0.0
317,BE_OCGT,2030,4,5,5,0.0,0.0
318,BE_OCGT,2030,4,6,6,0.0,0.0
319,BE_OCGT,2030,4,7,7,0.0,0.0
320,BE_OCGT,2030,4,8,8,0.0,0.0
321,BE_OCGT,2030,4,9,9,0.0,0.0
322,BE_OCGT,2030,4,10,10,0.0,0.0
323,BE_OCGT,2030,4,11,11,0.0,0.0
324,BE_OCGT,2030,4,12,12,0.0,0.0
325,BE_OCGT,2030,4,13,13,0.0,0.0
326,BE_OCGT,2030,4,14,14,0.0,0.0
327,BE_OCGT,2030,4,15,15,0.0,0.0
328,BE_OCGT,2030,4,16,16,0.0,0.0
329,BE_OCGT,2030,4,17,17,0.0,0.0
330,BE_OCGT,2030,4,18,18,0.0,0.0
331,BE_OCGT,2030,4,19,19,0.0,0.0
332,BE_OCGT,2030,4,20,20,0.0,0.0
333,BE_OCGT,2030,4,21,21,0.0,0.0
334,BE_OCGT,2030,4,22,22,0.0,0.0
335,BE_OCGT,2030,4,23,23,0.0,0.0
336,BE_OCGT,2030,4,24,24,0.0,0.0
337,BE_OCGT,2030,5,1,1,0.0,0.0
338,BE_OCGT,2030,5,2,2,0.0,0.0
339,BE_OCGT,2030,5,3,3,0.0,0.0
340,BE_OCGT,2030,5,4,4,0.0,0.0
341,BE_OCGT,2030,5,5,5,0.0,0.0
342,BE_OCGT,2030,5,6,6,0.0,0.0
343,BE_OCGT,2030,5,7,7,0.0,0.0
344,BE_OCGT,2030,5,8,8,0.0,0.0
345,BE_OCGT,2030,5,9,9,0.0,0.0
346,BE_OCGT,2030,5,10,10,0.0,0.0
347,BE_OCGT,2030,5,11,11,0.0,0.0
348,BE_OCGT,2030,5,12,12,0.0,0.0
349,BE_OCGT,2030,5,13,13,0.0,0.0
350,BE_OCGT,2030,5,14,14,0.0,0.0
351,BE_OCGT,2030,5,15,15,0.0,0.0
352,BE_OCGT,2030,5,16,16,0.0,0.0
353,BE_OCGT,2030,5,17,17,0.0,0.0
354,BE_OCGT,2030,5,18,18,0.0,0.0
355,BE_OCGT,2030,5,19,19,0.0,0.0
356,BE_OCGT,2030,5,20,20,0.0,0.0
357,BE_OCGT,2030,5,21,21,0.0,0.0
358,BE_OCGT,2030,5,22,22,0.0,0.0
359,BE_OCGT,2030,5,23,23,0.0,0.0
360,BE_OCGT,2030,5,24,24,0.0,0.0
361,BE_OCGT,2030,6,1,1,0.0,0.0
362,BE_OCGT,2030,6,2,2,0.0,0.0
363,BE_OCGT,2030,6,3,3,0.0,0.0
364,BE_OCGT,2030,6,4,4,0.0,0.0
365,BE_OCGT,2030,6,5,5,0.0,0.0
366,BE_OCGT,2030,6,6,6,0.0,0.0
367,BE_OCGT,2030,6,7,7,0.0,0.0
368,BE_OCGT,2030,6,8,8,0.0,0.0
369,BE_OCGT,2030,6,9,9,0.0,0.0
370,BE_OCGT,2030,6,10,10,0.0,0.0
371,BE_OCGT,2030,6,11,11,0.0,0.0
372,BE_OCGT,2030,6,12,12,0.0,0.0
373,BE_OCGT,2030,6,13,13,0.0,0.0
374,BE_OCGT,2030,6,14,14,0.0,0.0
375,BE_OCGT,2030,6,15,15,0.0,0.0
376,BE_OCGT,2030,6,16,16,0.0,0.0
377,BE_OCGT,2030,6,17,17,0.0,0.0
378,BE_OCGT,2030,6,18,18,0.0,0.0
379,BE_OCGT,2030,6,19,19,0.0,0.0
380,BE_OCGT,2030,6,20,20,0.0,0.0
381,BE_OCGT,2030,6,21,21,0.0,0.0
382,BE_OCGT,2030,6,22,22,0.0,0.0
383,BE_OCGT,2030,6,23,23,0.0,0.0
384,BE_OCGT,2030,6,24,24,0.0,0.0
385,BE_OCGT,2030,7,1,1,0.0,0.0
386,BE_OCGT,2030,7,2,2,0.0,0.0
387,BE_OCGT,2030,7,3,3,0.0,0.0
388,BE_OCGT,2030,7,4,4,0.0,0.0
389,BE_OCGT,2030,7,5,5,0.0,0.0
390,BE_OCGT,2030,7,6,6,0.0,0.0
391,BE_OCGT,2030,7,7,7,0.0,0.0
392,BE_OCGT,2030,7,8,8,0.0,0.0
393,BE_OCGT,2030,7,9,9,0.0,0.0
394,BE_OCGT,2030,7,10,10,0.0,0.0
395,BE_OCGT,2030,7,11,11,0.0,0.0
396,BE_OCGT,2030,7,12,12,0.0,0.0
397,BE_OCGT,2030,7,13,13,0.0,0.0
398,BE_OCGT,2030,7,14,14,0.0,0.0
399,BE_OCGT,2030,7,15,15,0.0,0.0
400,BE_OCGT,2030,7,16,16,0.0,0.0
401,BE_OCGT,2030,7,17,17,0.0,0.0
402,BE_OCGT,2030,7,18,18,0.0,0.0
403,BE_OCGT,2030,7,19,19,0.0,0.0
404,BE_OCGT,2030,7,20,20,0.0,0.0
405,BE_OCGT,2030,7,21,21,0.0,0.0
406,BE_OCGT,2030,7,22,22,0.0,0.0
407,BE_OCGT,2030,7,23,23,0.0,0.0
408,BE_OCGT,2030,7,24,24,0.0,0.0
409,BE_OCGT,2030,8,1,1,0.0,0.0
410,BE_OCGT,2030,8,2,2,0.0,0.0
411,BE_OCGT,2030,8,3,3,0.0,0.0
412,BE_OCGT,2030,8,4,4,0.0,0.0
413,BE_OCGT,2030,8,5,5,0.0,0.0
414,BE_OCGT,2030,8,6,6,0.0,0.0
415,BE_OCGT,2030,8,7,7,0.0,0.0
416,BE_OCGT,2030,8,8,8,0.0,0.0
417,BE_OCGT,2030,8,9,9,0.0,0.0
418,BE_OCGT,2030,8,10,10,0.0,0.0
419,BE_OCGT,2030,8,11,11,0.0,0.0
420,BE_OCGT,2030,8,12,12,0.0,0.0
421,BE_OCGT,2030,8,13,13,0.0,0.0
422,BE_OCGT,2030,8,14,14,0.0,0.0
423,BE_OCGT,2030,8,15,15,0.0,0.0
424,BE_OCGT,2030,8,16,16,0.0,0.0
425,BE_OCGT,2030,8,17,17,0.0,0.0
426,BE_OCGT,2030,8,18,18,0.0,0.0
427,BE_OCGT,2030,8,19,19,0.0,0.0
428,BE_OCGT,2030,8,20,20,0.0,0.0
429,BE_OCGT,2030,8,21,21,0.0,0.0
430,BE_OCGT,2030,8,22,22,0.0,0.0
431,BE_OCGT,2030,8,23,23,0.0,0.0
432,BE_OCGT,2030,8,24,24,0.0,0.0
433,BE_OCGT,2030,9,1,1,0.0,0.0
434,BE_OCGT,2030,9,2,2,0.0,0.0
435,BE_OCGT,2030,9,3,3,0.0,0.0
436,BE_OCGT,2030,9,4,4,0.0,0.0
437,BE_OCGT,2030,9,5,5,0.0,0.0
438,BE_OCGT,2030,9,6,6,0.0,0.0
439,BE_OCGT,2030,9,7,7,0.0,0.0
440,BE_OCGT,2030,9,8,8,0.0,0.0
441,BE_OCGT,2030,9,9,9,0.0,0.0
442,BE_OCGT,2030,9,10,10,0.0,0.0
443,BE_OCGT,2030,9,11,11,0.0,0.0
444,BE_OCGT,2030,9,12,12,0.0,0.0
445,BE_OCGT,2030,9,13,13,0.0,0.0
446,BE_OCGT,2030,9,14,14,0.0,0.0
447,BE_OCGT,2030,9,15,15,0.0,0.0
448,BE_OCGT,2030,9,16,16,0.0,0.0
449,BE_OCGT,2030,9,17,17,0.0,0.0
450,BE_OCGT,2030,9,18,18,0.0,0.0
451,BE_OCGT,2030,9,19,19,0.0,0.0
452,BE_OCGT,2030,9,20,20,0.0,0.0
453,BE_OCGT,2030,9,21,21,0.0,0.0
454,BE_OCGT,2030,9,22,22,0.0,0.0
455,BE_OCGT,2030,9,23,23,0.0,0.0
456,BE_OCGT,2030,9,24,24,0.0,0.0
457,BE_OCGT,2030,10,1,1,0.0,0.0
458,BE_OCGT,2030,10,2,2,0.0,0.0
459,BE_OCGT,2030,10,3,3,0.0,0.0
460,BE_OCGT,2030,10,4,4,0.0,0.0
461,BE_OCGT,2030,10,5,5,0.0,0.0
462,BE_OCGT,2030,10,6,6,0.0,0.0
463,BE_OCGT,2030,10,7,7,0.0,0.0
464,BE_OCGT,2030,10,8,8,0.0,0.0
465,BE_OCGT,2030,10,9,9,0.0,0.0
466,BE_OCGT,2030,10,10,10,0.0,0.0
467,BE_OCGT,2030,10,11,11,0.0,0.0
468,BE_OCGT,2030,10,12,12,0.0,0.0
469,BE_OCGT,2030,10,13,13,0.0,0.0
470,BE_OCGT,2030,10,14,14,0.0,0.0
471,BE_OCGT,2030,10,15,15,0.0,0.0
472,BE_OCGT,2030,10,16,16,0.0,0.0
473,BE_OCGT,2030,10,17,17,0.0,0.0
474,BE_OCGT,2030,10,18,18,0.0,0.0
475,BE_OCGT,2030,10,19,19,0.0,0.0
476,BE_OCGT,2030,10,20,20,0.0,0.0
477,BE_OCGT,2030,10,21,21,0.0,0.0
478,BE_OCGT,2030,10,22,22,0.0,0.0
479,BE_OCGT,2030,10,23,23,0.0,0.0
480,BE_OCGT,2030,10,24,24,0.0,0.0
481,CH_CCGT,2030,1,1,1,0.0,0.0
482,CH_CCGT,2030,1,2,2,0.0,0.0
483,CH_CCGT,2030,1,3,3,0.0,0.0
484,CH_CCGT,2030,1,4,4,0.0,0.0
485,CH_CCGT,2030,1,5,5,0.0,0.0
486,CH_CCGT,2030,1,6,6,0.0,0.0
487,CH_CCGT,2030,1,7,7,0.0,0.0
488,CH_CCGT,2030,1,8,8,0.0,0.0
489,CH_CCGT,2030,1,9,9,0.0,0.0
490,CH_CCGT,2030,1,10,10,0.0,0.0
491,CH_CCGT,2030,1,11,11,0.0,0.0
492,CH_CCGT,2030,1,12,12,0.0,0.0
493,CH_CCGT,2030,1,13,13,0.0,0.0
494,CH_CCGT,2030,1,14,14,0.0,0.0
495,CH_CCGT,2030,1,15,15,0.0,0.0
496,CH_CCGT,2030,1,16,16,0.0,0.0
497,CH_CCGT,2030,1,17,17,0.0,0.0
498,CH_CCGT,2030,1,18,18,0.0,0.0
499,CH_CCGT,2030,1,19,19,0.0,0.0
500,CH_CCGT,2030,1,20,20,0.0,0.0
501,CH_CCGT,2030,1,21,21,0.0,0.0
502,CH_CCGT,2030,1,22,22,0.0,0.0
503,CH_CCGT,2030,1,23,23,0.0,0.0
504,CH_CCGT,2030,1,24,24,0.0,0.0
505,CH_CCGT,2030,2,1,1,0.0,0.0
506,CH_CCGT,2030,2,2,2,0.0,0.0
507,CH_CCGT,2030,2,3,3,0.0,0.0
508,CH_CCGT,2030,2,4,4,0.0,0.0
509,CH_CCGT,2030,2,5,5,0.0,0.0
510,CH_CCGT,2030,2,6,6,0.0,0.0
511,CH_CCGT,2030,2,7,7,0.0,0.0
512,CH_CCGT,2030,2,8,8,0.0,0.0
513,CH_CCGT,2030,2,9,9,0.0,0.0
